URL,Size,OutLinks,ContentType
https://www.washingtonpost.com/amphtml/business/economy/report-shows-gop-tax-plan-would-help-the-rich-as-party-struggles-for-unity/2017/09/29/4d1113b8-a547-11e7-b14f-f41773cd5a14_story.html,50804,39,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/29/10-celebrities-you-probably-think-hosted-saturday-night-live-but-havent/,161552,53,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-snl-and-curb-your-enthusiasm-return/2017/09/29/1595ae36-a528-11e7-ade1-76d061d56efa_story.html,154849,27,text/html
https://www.washingtonpost.com/entertainment/tv/netflixs-big-mouth-finds-a-smart-way-to-wrestle-with-the-monster-called-puberty/2017/09/28/df72e252-a3be-11e7-8cfe-d5b912fabc99_story.html,157166,28,text/html
https://www.washingtonpost.com/entertainment/indian-theater-actor-tom-alter-has-died-aged-67/2017/09/30/69b1921c-a5a7-11e7-b573-8ec86cdfe1ed_story.html?tid=pm_entertainment_pop,152421,26,text/html
https://www.washingtonpost.com/people/emily-yahr/,73952,64,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-gotham-returns-to-fox/2017/09/20/be07c0f4-9e20-11e7-8ea1-ed975285475e_story.html,153594,25,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/21/jimmy-kimmel-doubles-down-slams-sen-bill-cassidy-trump-and-fox-friends-over-health-care-bill/,165726,36,text/html
https://www.washingtonpost.com/people/bethonie-butler/,72968,61,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/19/jimmy-kimmel-gets-heated-about-health-care-bill-says-bill-cassidy-lied-right-to-my-face/,166028,40,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/27/jimmy-kimmel-is-thrilled-the-gop-health-care-bill-is-dead-offers-advice-to-congress/,159251,39,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-this-is-us-returns-to-nbc/2017/09/25/e2104282-a136-11e7-b14f-f41773cd5a14_story.html,154097,26,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-transparent-returns-to-amazon/2017/09/21/9a351ac4-9ed8-11e7-9083-fbfddf6804c2_story.html,153405,26,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/25/why-you-still-cant-stop-watching-keeping-up-with-the-kardashians-10-years-later/,156642,32,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/21/big-brother-finale-how-did-this-contestant-implode-after-playing-a-near-perfect-game/,162316,39,text/html
https://www.washingtonpost.com/entertainment/books/david-bowie-plagiarist-visionary-or-saint/2017/09/29/7546795a-a492-11e7-b14f-f41773cd5a14_story.html?tid=pm_entertainment_pop,156982,29,text/html
https://www.washingtonpost.com/entertainment/tv/vatican-newspaper-chimes-in--finally--on-the-young-pope/2017/09/30/5e9272be-a608-11e7-b573-8ec86cdfe1ed_story.html?tid=pm_entertainment_pop,152681,24,text/html
https://www.washingtonpost.com/entertainment/celebrities/legendary-singer-connie-francis-auctions-lifes-treasures/2017/09/29/b5ac6734-a53c-11e7-b573-8ec86cdfe1ed_story.html?tid=pm_entertainment_pop,156103,25,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/27/the-voice-premieres-obsession-with-country-singers-actually-makes-a-lot-of-sense/,160217,40,text/html
https://www.washingtonpost.com/entertainment/tv/law-and-order-applies-its-style-to-true-crime-but-menendez-murders-lacks-allure/2017/09/25/3fe355f0-a15c-11e7-b14f-f41773cd5a14_story.html,158943,27,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/28/the-9-most-cringe-worthy-moments-in-curb-your-enthusiasm-history/,164897,41,text/html
https://www.washingtonpost.com/people/hank-stuever/,73496,64,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-star-trek-discovery-premieres-on-cbs/2017/09/22/044faad2-9f1a-11e7-9c8d-cf053ff30921_story.html,154308,26,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-young-sheldon-premieres-on-cbs/2017/09/24/2acfbdcc-9fa7-11e7-9083-fbfddf6804c2_story.html,153685,25,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-will-and-grace-returns-to-nbc/2017/09/27/622158bc-a38f-11e7-b14f-f41773cd5a14_story.html,153474,26,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-liar-premieres-on-sundance-tv/2017/09/26/0e760580-a2ce-11e7-8cfe-d5b912fabc99_story.html,154360,25,text/html
https://www.washingtonpost.com/entertainment/tv/will-and-grace-are-back-mostly-to-snark-about-life-in-trumps-america/2017/09/27/c0ff9886-a244-11e7-ade1-76d061d56efa_story.html,160857,29,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/26/late-night-hosts-mock-trumps-nfl-feud-how-can-one-person-be-on-the-wrong-side-of-everything/,165620,36,text/html
https://www.washingtonpost.com/entertainment/tv/tv-highlights-tin-star-and-big-mouth-premiere/2017/09/28/ba78bb70-a463-11e7-8cfe-d5b912fabc99_story.html,152995,25,text/html
https://www.washingtonpost.com/entertainment/museums/mona-lisa-unveiled-nude-sketch-may-have-link-to-masterpiece/2017/09/29/0a86ec62-a4fb-11e7-b573-8ec86cdfe1ed_story.html?tid=pm_entertainment_pop,153789,25,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/27/tim-allen-thinks-conservative-politics-might-be-why-last-man-standing-got-canceled/,157115,36,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/25/kevin-can-wait-premiere-the-decision-to-kill-off-erinn-hayes-becomes-even-weirder/,161140,39,text/html
https://www.washingtonpost.com/news/arts-and-entertainment/wp/2017/09/29/all-the-trump-burns-in-the-will-grace-season-premiere/,157428,31,text/html
https://www.washingtonpost.com/news/powerpost/wp/2017/06/07/lerner-leaves-office-of-special-counsel-as-trumps-rejects-highly-praised-whistleblower-advocate/,161128,34,text/html
https://www.washingtonpost.com/news/powerpost/wp/2017/02/07/house-panel-displays-bipartisan-unity-over-bill-to-save-postal-service-from-financial-ruin/,159039,32,text/html
